,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
0,0,150.214498,252.5712925,190.915921,269.1137951,116.0339868,125.5858641,473.6255945,182.0026286,335.1285838,231.6132661,196.5770694,167.6030079,204.9068801,141.7175124,151.0157431,198.9716597,250.294389,226.4406888,261.3761281,223.4560146,216.1685848,396.0978895,194.7873575,239.6694847,116.6030671,192.0140499,203.2229754,299.5515909,319.9736385,223.2259099,262.9143755,223.02163,230.65334691114998,230.6319449,148.7236313,278.7649135,333.9055335,241.6772711,113.201205,135.9284875,242.7930834,276.3558855,303.3887381,150.3295,141.6817074,312.4814522,363.8896301,350.4035549,306.9555253,259.8133574,253.5089729,279.9375476,450.1803158,133.1206229,261.202276,272.6410653,326.6717604,335.6289912,261.4685137,177.9732598,175.6131191,302.7572336,156.5115361,196.9969816,145.3049237,155.2204307,350.8318304,448.3243486,193.2285496,185.0601623,195.1518651,196.9922857,534.1145865,346.2010486,127.2955888,379.2295383,256.2997534,526.2012333,165.8938587,163.611884,400.3011141,186.3904917,244.7787082,267.5481405,154.9544689,453.5821888,511.8145951,353.6298069,267.8430309,388.8521764,346.3193939,298.3541638,267.4538999,324.0251141,297.6527988,291.2822545,158.4785395,259.701706,327.478537,207.8247901,241.6356509,205.2524291,208.5717992,266.9057667,183.120764,255.2126501,319.8070112,477.119205,269.6605455,220.2288228,196.1597828,207.7337924,169.458142,142.7289672,359.3879374,215.9364736,410.8918735,211.9409662,138.153981,165.1065211,283.8463082,190.4117231,207.520003,200.5694198,411.794513,397.7454156,510.5405504,192.41372,583.0930431,247.5449953,537.0568731,227.3456505,170.5085636,415.173462,412.2973809,224.9176488,252.936121,138.2922532
1,150.214498,0,224.111862,110.7304112,192.7933132,200.7307127,127.7949133,443.5072746,150.2677102,275.9384912,294.17322755509997,241.6412667,131.8440474,170.1145533,111.4530149,114.7850847,156.9766282,204.0089837,146.2763288,212.4521708,210.4154241,221.5675443,385.96882,157.3111529,182.9283519,134.2071895,147.8153659,155.5609819,227.9997695,302.8928704,175.9038851,211.2378362,171.7355579,226.6726497,177.3233301,96.49899409,236.2975262,290.4775288,162.8126827,82.08273552,152.7435591,184.4865252,251.56463506400002,233.4121767,107.1193424,82.46558591,300.1499599,348.1110161,340.4184319,244.9475628,222.3235152,235.9842346,277.26199094649996,414.3626379,153.8890861,235.63258,253.3618344,296.808934,319.386659,228.0901199,235.4902916,133.6686341,289.616403,184.1036927,227.1179844,118.8974163,108.7634652,322.6888767,408.9223435,200.0392791,120.6616192,129.7492702,139.3316414,478.3558028,308.0492149,139.8290009,341.8968432,193.5490113,492.9420629,152.5088263,88.83754934,351.9199937,231.7333373,203.9010008,250.4594377,99.88891676,414.2172949,469.5184198,337.0452695,233.4263362,362.365037,290.5750712,278.5885836,234.490012,308.073069,246.2532431,233.6265329,133.2024043,182.3753434,304.6049971,170.88946640979998,230.2090842,206.2157699,138.7658445,194.9354592,135.9641181,257.17290333865003,254.8910406,423.1743592,249.7199844,218.9989123,221.8382197,213.3418018,173.9034609,116.653959,373.0947664,168.2626086,361.1605854,209.655402,193.0666871,140.1317904,228.7359665,179.7531433,213.1208563,149.1664069,388.8824586,397.1663076,458.6280896,140.6542124,547.2742193,190.3720248,519.9420921,173.661936,135.6998018,412.9239681,389.5055751,164.8996605,215.9454701,117.8665543
2,252.5712925,224.111862,0,213.18772,233.3772686,274.3216451,208.4037522,335.4160352,321.8401479,350.331828,402.8680444,241.3263945,233.0067847,265.6950158,262.0216231,204.3811853,180.0287272,358.7450135,279.8524254,264.5632357,289.96422978935004,376.6181082,287.7637091,260.0401133,354.5251412,271.0523587,251.1207432,256.1774139,297.3452888,193.5457227,342.935281,164.8454837,329.95804,385.3093168,320.1652209,250.9823385,213.3293369,209.768277,236.5982176,229.3252475,196.4094339,225.5203727,235.2088994,238.358825,223.8517176,202.6251146,259.11711800160003,270.4523887,305.5992844,290.7516729,219.9799796,184.6910956,173.2874303,323.1815129,297.3400196,246.32131985540002,206.651946,275.3351169,270.3470259,223.4629125,369.0048409,188.9551383,225.5077618,328.3505466,222.3104295,239.5085954,270.7330791,294.5952678,340.2990395,355.7193796,249.3859586,253.3030997,211.7604695,431.3550425,174.8309533,181.3633063,200.8789267,300.1537048,420.1782412,204.7278403,211.7606596,343.5794442,244.3807796,369.9762257,404.6130096,214.4514972,269.2448928,424.5845606,203.6300426,266.5612173,301.4848815,293.3267214,219.2541578,266.8199498,209.587454,245.2701777,180.9303644,306.4934914,232.8588309,254.7376492,337.2981018,389.7126918,366.2174496,209.2198163,210.9829652,214.5924617,171.9613169,272.8415976,355.9850043,407.7177094,192.7679175,178.1422043,365.66239127234996,226.0116215,213.5100602,285.3635192,191.186647,238.7215723,210.9819841,210.04826930500002,204.5271046,230.4617832,218.9967818,365.4725885,252.3772152,270.3116747,306.2385207,361.0247195,300.6684929,503.7421204,329.6749081,371.2131622,204.6181023,270.6245502,320.8961462,271.1060291,324.85004518439996,363.4306345,214.6376337
3,190.915921,110.7304112,213.18772,0,194.1700207,237.6208686,142.1736825,429.2292559,188.7191623,255.2675111,334.3329338,261.5220272,154.8668417,162.1289869,152.8424134,132.3978247,189.4891317,221.0928836,171.7123133,216.4201325,215.334943,268.2394564,363.3798826,177.7319339,203.982991,167.231308,157.1766494,167.69934132204997,206.2898176,277.1006707,201.556374,196.9958965,190.1330745,272.8854385,198.6268357,150.8247614,244.4221996,253.6057831,174.0689357,153.1648247,179.2491397,185.2349612,250.8792513,231.9753926,143.8403664,90.48241209,290.6486335,306.1425473,319.0529178,231.2342711,160.4977373,219.3951049,260.3775158,373.3747309,201.0869368,232.0475389,263.9993774,293.3112491,302.9314349,166.9536991,275.2593042,172.7853528,276.0071213,229.8731548,236.0983069,132.4851491,146.0969669,324.7950356,394.8172749,238.4349476,143.9727431,143.0208841,151.5712117,457.9073105,293.3637243,152.48714701929998,327.3336895,175.1384806,473.6092208,168.8526849,154.2894814,333.1911019,245.9589234,227.6823875,291.0157182,137.9645676,394.5533254,452.4558553,311.1647282,219.8321284,352.3870643,277.44476360584997,259.3449618,220.6684452,283.9299512,242.0248833,242.9583232,180.7771883,192.5301054,278.0847057,198.9869858,280.6326549,251.5632832,115.3373901,195.987681,177.0980629,249.27439685410002,240.3015878,416.8091985,283.4527194,188.5386083,225.7064747,263.1333369,186.2981469,156.6233822,358.4285662,185.6886355,347.8731329,222.2994181,212.152032,184.5820107,215.7335588,181.4442192,262.9259824,138.0630539,345.0902304,360.8936294,437.3524734,182.355526,528.6403304,192.5820635,501.871656,185.4001938,159.4014317,376.07740265580003,345.3578197,193.6289539,232.855978,159.3923414
4,269.1137951,192.7933132,233.3772686,194.1700207,0,322.1780298,212.6694421,382.2222634,266.0745912,252.2224137,417.7867512,315.7438079,161.8723128,228.3822567,237.9550885,198.0554875,145.4204154,280.4214359,214.3802517,200.5008107,286.3298334,363.612235,345.499901,217.6366462,278.1554736,247.7802442,173.0715615,203.3669528,158.3028995,295.5596268,269.5105968,189.4037702,238.1383705,362.26317202430005,224.4002483,191.0959984,146.5294353,203.0863344,75.84400796,218.1541962,244.6134007,158.4287888,270.7091506,65.0962655,190.76694,169.6924762,283.4680982,273.3058628,323.5249133,210.3551289,267.9397581,242.0375253,298.5207484,373.7749556,299.0033482,213.9661977,201.6095518,273.0138828,260.5575052,272.1723536,370.5636282,187.3267447,299.8231937,328.2081899,271.7690095,226.1812296,244.7565851,277.0880989,370.1296332,336.3233075,134.5599073,177.0704802,201.70301,348.6849322,292.4055065,216.4372814,308.0104127,170.0718879,426.063203,231.6880507,193.4513345,287.6968049,301.4778611,288.9190035,374.7912003,157.8985393,362.3355312,384.0452735,346.4030429,244.4193398,306.6056046,185.040675,270.9791404,245.738904,330.8992082,182.8491647,198.7897429,271.1193547,43.20646324,267.4618234,292.1751477,365.2886227,343.2587875,156.6416916,129.7663979,216.6423598,287.4281083,154.1435976,319.5143614,357.2570575,286.5538432,299.4728129,355.0744405,256.3095508,229.1910521,378.052965,225.4869394,309.545154,252.6988559,280.3135641,227.0403686,217.9103299,231.8996325,355.0162501,168.2329579,361.2351566,351.8079401,362.4141013,243.032514,467.4219194,223.8011882,464.1883176,136.2602878,264.1014317,365.2492888,361.8485923,253.2037421,282.97019267844996,208.664412
5,116.0339868,200.7307127,274.3216451,237.6208686,322.1780298,0,183.395413,516.6768200184999,209.3925566,379.0909891,223.2676487,191.66989744494998,221.6629461,258.2053055,189.4359669,186.7160158,237.4690743,267.088787,268.5612952,313.0225932,252.6109246,211.8889955,417.5286627,244.983723,257.68338279315003,164.270382,246.2275698,251.6537661,348.1069863,350.5841263,245.6301603,291.9639623,247.0618763,219.6169984,259.0993906,208.3724956,327.9612755,368.9295456,294.41302267590004,157.9983186,139.9679141,301.8118553,300.6799071,354.4535998,206.0038337,205.332485,335.3997561,389.3277137,382.4869286,363.5406029,297.2795687,283.1173476,282.1006988,491.9998379,148.8737104,326.69117,302.9680553,376.756678,376.8081663,294.3868414,188.7999313,218.0346394,343.4334983,168.9436803,240.5106326,175.2854197,199.4053282,403.0075838,480.8101307,207.4079602,241.3308016,259.3311551,229.1218282,583.0586488,353.6616938,162.4351462,390.1001657,299.635218,573.799711,210.71326806094999,197.3303014,445.9414931,193.8258932,264.7803722,253.4960175,204.486208,471.4500985,559.2709042,361.6945032,310.3020691,422.9928581,401.0109652,328.7092701,309.8968056,326.7719239,350.1843915,322.4219708,197.1734379,308.9912367,373.6557964,232.2464642,232.3113094,210.5089555,264.3726544,309.67014,204.9533847,267.675993,377.5712172,509.938093,255.2080355,227.4618777,187.5804174,213.6666276,165.2484734,164.0556862,373.7697561,235.7888211,438.3144588,244.3804028,136.8455047,179.1680465,332.1155299,231.079685,213.6208379,249.7901446,441.976252,411.3897041,549.8999144,227.9815056,634.3415617,288.9405953,560.4459433,280.3321145,193.366584,430.1638929,442.5178616,253.6474381,270.3917565,164.3964687
6,125.5858641,127.7949133,208.4037522,142.1736825,212.6694421,183.395413,0,396.4063559,214.6697286,272.3877628,324.4683453,237.3952071,144.0128331,152.4495115,148.512117,133.991878,158.9427643,262.9228717,210.7320139,195.6220008,216.5727943,284.5133846,320.7682345,170.3549627,251.2251467,166.125889,165.5004438,154.6267018,227.8517656,249.4732452,244.0867128,200.3933851,229.6326654,294.0800406,237.1061597,140.4494502,213.3587924,267.8785004,199.760605,131.8081028,145.2034266,170.2005091,205.3867214,238.5624855,130.905863,102.6833619,268.7494002,319.7950111,262.9271705,230.1307083,188.7032388,210.1022685,245.7727007,370.1151527,187.5382204,185.1748523,221.680475,256.59659,259.4665117,187.3990885,269.8710142,149.4604841,237.393462,230.2613592,157.2759934,163.5023407,157.7503171,276.3342265,377.3500823,261.288023,171.0460164,139.5541714,155.0202606,452.3633222,287.5516132,137.2789536,322.8185935,201.5344127,438.9179074,155.629459,169.4456287,320.0255369,174.1420853,268.8226178,321.1904784,154.0691203,391.5927407,421.9549415,312.2843936,193.804782,316.751941,272.5391213,242.1116877,193.6828876,279.0037649,215.3726069,238.07743437534998,193.6679547,214.4737632,264.0975965,234.6068111,300.4022777,274.6330961,134.1058664,207.5781488,145.8276977,216.2443664,233.8921824,413.0163777,319.1640781,183.6447548,180.56503806339998,274.7622685,158.517076,146.4895107,311.4470675,186.2911121,349.3336046,168.6433573,152.3790035,166.3477237,202.0841372,124.3960582,274.6312628,139.50953747674998,354.9118109,360.8102018,426.0458835,207.7199474,495.3831797,224.9867214,492.4907768,159.6665421,167.70398733489998,373.724718,355.5757346,234.184559,268.0934603,119.4537467
7,473.6255945,443.5072746,335.4160352,429.2292559,382.2222634,516.6768200184999,396.4063559,0,551.5124574,415.8131,600.6852776,440.3385337,435.3103599,400.1947715,475.7077868,421.9482114,370.0678621,581.4559828,488.3535532,406.072201,485.352098,589.3389097556001,239.4177026,465.166327,562.3459682,499.7410815,467.2639466,450.3554797,393.2564989,276.0016501,568.3080163,319.7799346,549.7019864,591.293334,545.0264449,472.1420195,300.8132923,286.871571,414.1531129,441.7719796,428.9411623,348.4292886,319.589043,351.1383396,448.2321839,421.4194418,286.8772095,314.60731978984995,329.5322232,348.8363867,370.9650299,336.6413397,336.9750723,224.9276291,535.1077423,319.6894322,316.3551645,301.4802674,278.8200232,372.9757154,590.5804638,377.8055854,285.5788115,562.7172235,365.3911349,458.5214623,483.0826641,283.8281262,243.8660229,572.5700072,461.8131262,418.6221098,432.8823999,317.2245165,283.9671656,406.2151708,262.6303541,442.9201069,250.8482458,415.9463542,445.5759444,304.2629371,444.4457183,571.7053467,605.5935828024001,423.7727635,209.7579629,281.5683343,291.870301,344.1594733,236.350434,318.9814746,317.0169622,344.6705991,344.1281179,299.0582798,315.4613753,540.9930979,404.8790505,270.9414821,568.0315614,593.7462769,577.419451,385.988484,319.9015272,436.0988301,339.8658344,331.2672709,255.1814786,602.5739979,395.95071536579997,418.5577548,578.5856792,455.31808657224997,427.8498905,363.4801412,389.1096926,229.549878,366.9387684,437.2297015,416.6085367,309.4039703,361.17355395904997,578.3732411938499,391.0527209,229.9849273,278.1813506,243.6342483,541.9681968,306.705465,487.3723209,318.3616849,347.7397314,489.2184199,270.2160948,230.0546552,539.5691216,584.9948147,442.2779691
8,182.0026286,150.2677102,321.8401479,188.7191623,266.0745912,209.3925566,214.6697286,551.5124574,0,348.2447399,193.6553403,288.8112978,153.2042214,260.4776808,103.5846947,175.393307,250.2685232,102.8230964,161.2568316,249.7682742,248.4281502,140.6188184,486.6918655,175.2561861,112.2816335,163.620383,146.8607684,176.0620626,298.084967,417.0385456,69.71325284,310.4177499,89.21442739,139.0489691,102.65878,128.4860794,324.8808429,374.2020011,220.1918318,176.4487412,232.8772096,254.3788128,355.4526755,313.9795189,154.8105317,166.6209657,401.7694692,449.4839906,429.7803108,348.8627437,301.8703665,315.5586737,373.7549916,517.1937335,126.6040195,340.0293256,353.7193376,379.1699614,417.7227379,306.3261047,182.1122241,246.0422586,367.9811458,126.9451267,307.9232858,161.5842973,111.3262167,411.9822244,528.4668776,124.2555537,144.5850538,215.1066935,180.6039702,585.6875634,411.4496127,218.8163298,447.57969300130003,234.0518096,609.0076326,214.2302874,170.0159663,460.3938893,280.8739545,122.1142118,152.636353,181.8819708,526.9820576,582.3812291,432.5025411,339.7316314,482.0625844,394.5995003,366.6420639,340.2728413,399.244084,355.1175924,339.7921913,109.8947263,243.684402,399.48607,93.53913084,146.3531828,127.0789598,212.8501005,288.5781892,206.5771037,338.6700929,355.5300288,539.7713618,140.5816876,293.3297094,301.6074158,148.0095975,208.965317,193.42707125549998,452.6396582,269.0356099,476.5880002,288.4717922,256.7991702,228.3568573,339.5812453,276.24591911715004,148.0728811,207.522862,483.1828132,474.7055056,579.9286678,77.39547262,641.831528,208.406382,610.0026611,258.0419693,165.3214869,486.8653922,483.5059294,108.1794695,112.6893834,180.4191045
9,335.1285838,275.9384912,350.331828,255.2675111,252.2224137,379.0909891,272.3877628,415.8131,348.2447399,0,418.5138369,324.5495114,311.7326229,188.3015043,303.2797217,302.9130247,322.8607358,357.9489531,329.4250478,313.5670209,378.4209882,397.3405735,368.1518292,321.4994325,312.0169821,300.1030264,302.034426,294.4742382,99.29084443,320.1328636,335.3012566,330.6863331,311.2948621,396.4083809,336.7975194,292.7350564,324.4948105,350.6532797,265.9923427,277.8501456,306.0968345,278.6193507,267.8926763,286.403843,289.9966559,258.2126397,293.8114576,354.6897964,313.6347811,133.7152556,270.76827,357.7880406,342.4862317,408.6848439,364.8400229,210.4973905,353.784836,388.5146502,338.122083,275.9068318,417.3443825,243.8739625,376.7416066,359.5120479,331.7124007,282.2131423,306.0171123,397.4549888,345.7110306,360.1981332,266.6069012,186.5752636,294.0078745,332.340341,362.0678596,309.3106451,380.1639835,133.5359422,405.1735231,329.4345752,296.49875180435004,203.7872783,394.0279845,325.0195097,412.4790819,265.7323993,409.6199254,351.57493,368.6081283,214.0743771,329.4541248,177.0975131,366.2502821,214.2384163,418.2982466,235.3351557,339.6146349,307.9363179,284.9026891,369.346253,352.9058756,396.3742945,369.8110336,229.8943671,266.0345345,307.4180801,370.5957311,160.62800497925002,358.3379411,408.0070915,356.9710348,353.2105752,369.9910944,361.6996141,290.3265477,451.9222429,254.6662339,346.5399789,327.4856015,360.01471263614997,303.9081186,241.5518003,286.3681118,369.5969241,196.9653445,367.3609501,360.5167598,368.0525483,335.3024238,404.1439675,183.655769,488.9050384,266.4057083,311.3581494,365.4063928,366.912933,329.038839,365.7616477,319.8871544
