,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,0.0,150.2144980035,252.5712925412,190.9159209826,269.1137950521,116.0339868269,125.5858640658,473.6255945228,182.0026285816,335.128583813,231.6132661195,196.5770694164,167.6030078544,204.9068801136,141.7175123854,151.0157430579,198.9716597219,250.2943889936,226.4406887637,261.3761280503,223.4560145629,216.1685847927,396.0978895225,194.7873575183,239.6694847106,116.6030670998,192.0140499215,203.2229753781,299.5515908643,319.9736384875,223.2259098884,262.9143754542,223.0216300024,230.65334691114998,230.631944882,148.7236313276,278.7649134582,333.90553349225,241.6772710569,113.20120499,135.9284874555,242.7930833762,276.3558854596,303.3887381257,150.3294999956,141.6817074238,312.4814521505,363.8896301105,350.4035549015,306.9555253177,259.8133574342,253.5089728874,279.9375476175,450.1803157711,133.1206229414,261.2022759843,272.6410653428,326.6717604411,335.6289911994,261.4685136666,177.9732597763,175.6131190759,302.757233597,156.5115360802,196.9969816008,145.3049236776,155.2204307211,350.8318304385,448.3243486109,193.2285496225,185.0601622629,195.1518651024,196.992285719,534.1145864763,346.2010486221,127.2955887519,379.2295382546,256.2997533685,526.2012332668,165.8938586544,163.6118839639,400.30111405975,186.39049165455,244.7787082176,267.548140537,154.9544689219,453.5821887741,511.8145950789,353.6298068721,267.8430309302,388.85217639905,346.3193938667,298.3541638262,267.4538998587,324.0251140508,297.652798799,291.2822544954,158.4785394645,259.7017059801,327.4785369737,207.8247901402,241.635650858,205.2524291438,208.5717991932,266.9057667165,183.1207639809,255.2126500813,319.807011157,477.1192050191,269.6605454737,220.2288228079,196.1597828044,207.7337924014,169.4581419593,142.7289671748,359.3879373503,215.9364735934,410.8918734889,211.9409662146,138.1539810097,165.10652108835,283.8463081758,190.4117231029,207.5200029698,986.2876304013,200.5694198092,411.7945129722,397.7454156297,510.54055042135,192.4137200153,583.0930431416,247.5449953216,537.0568730621,227.3456505483,170.5085635754,415.1734619874,412.2973809015,224.9176488003,252.9361210393,138.2922532395
1,150.2144980035,0.0,224.1118620179,110.7304111916,192.7933132048,200.7307126565,127.7949133355,443.5072745937,150.2677101673,275.9384912351,294.17322755509997,241.641266718,131.8440473896,170.1145532584,111.4530149409,114.785084664,156.9766281549,204.0089836812,146.276328813,212.4521707949,210.4154241097,221.5675442617,385.9688200242,157.3111528607,182.9283518657,134.2071895395,147.8153659169,155.5609818641,227.9997694795,302.8928704376,175.9038850511,211.2378361522,171.7355579256,226.672649749,177.3233301472,96.4989940945,236.2975262173,290.4775287814,162.8126827212,82.0827355199,152.7435590521,184.4865252483,251.56463506400002,233.4121766905,107.1193423741,82.4655859103,300.1499598951,348.1110160794,340.4184319168,244.9475628494,222.3235151662,235.9842346472,277.26199094649996,414.3626379245,153.8890861271,235.6325799721,253.3618343563,296.8089340449,319.386658967,228.0901199396,235.4902915514,133.66863407,289.6164029996,184.1036927405,227.1179844211,118.8974163184,108.7634652195,322.6888767211,408.9223434682,200.0392791462,120.6616191847,129.7492701609,139.33164137,478.3558027502,308.0492149008,139.8290008968,341.8968432049,193.5490113059,492.942062894,152.5088262643,88.8375493395,351.9199937381,231.7333373288,203.9010008248,250.4594376625,99.8889167637,414.2172948739,469.5184198253,337.0452695367,233.4263362495,362.3650369528,290.5750712275,278.5885835992,234.4900119531,308.0730689933,246.2532430683,233.6265328774,133.2024043268,182.375343445,304.6049971259,170.88946640979998,230.2090841568,206.2157699237,138.76584446685,194.9354591743,135.964118112,257.17290333865003,254.8910406112,423.1743592106,249.7199843999,218.9989122539,221.8382196773,213.3418017974,173.90346087205,116.6539589957,373.0947663836,168.2626085814,361.1605854408,209.6554020437,193.0666871207,140.1317904307,228.7359665077,179.7531432993,213.1208562862,958.61461123405,149.16640690405,388.8824585965,397.1663076497,458.6280895845,140.6542124246,547.2742192559,190.372024841,519.9420920935,173.6619360248,135.6998017803,412.9239680697,389.5055751147,164.899660499,215.9454700988,117.8665543147
2,252.5712925412,224.1118620179,0.0,213.1877200391,233.3772685867,274.3216450719,208.4037522247,335.4160351816,321.8401479288,350.3318279645,402.8680444217,241.3263944697,233.0067846806,265.6950157537,262.0216231392,204.381185314,180.028727175,358.7450135125,279.8524254167,264.5632357177,289.96422978935004,376.6181081884,287.7637091058,260.0401132957,354.52514124,271.0523587392,251.1207431651,256.1774139042,297.3452888488,193.5457227446,342.9352809745,164.8454837356,329.958039963,385.3093168168,320.165220887,250.9823385267,213.3293368609,209.7682769637,236.5982176461,229.3252475069,196.4094338522,225.5203726683,235.2088994259,238.3588249839,223.8517176153,202.625114579,259.11711800160003,270.4523886678,305.5992844365,290.7516728761,219.9799796133,184.6910955515,173.2874302518,323.1815128631,297.3400195783,246.32131985540002,206.6519460359,275.3351169192,270.3470259491,223.4629124912,369.0048409375,188.9551382711,225.5077617909,328.3505466474,222.3104294686,239.5085954324,270.7330791399,294.5952678228,340.299039545,355.7193795614,249.3859585724,253.3030997228,211.7604694632,431.3550424874,174.8309532605,181.3633062722,200.8789267471,300.1537047746,420.1782412114,204.7278403112,211.76065957205,343.5794441619,244.380779585,369.9762257448,404.6130096258,214.4514972255,269.2448928099,424.5845606389,203.6300426183,266.5612173342,301.4848815234,293.3267214362,219.2541578494,266.8199497797,209.5874539526,245.2701776964,180.93036439205,306.4934914468,232.8588309387,254.7376491788,337.2981018211,389.7126917988,366.2174496424,209.21981631625,210.9829651908,214.5924616617,171.9613169429,272.8415976182,355.98500429075,407.7177094316,192.767917498,178.1422042985,365.66239127234996,226.0116215249,213.5100602465,285.3635192288,191.186646955,238.7215723314,210.9819841308,210.04826930500002,204.527104584,230.4617832116,218.9967818291,365.47258853245,842.4625918743,252.3772151793,270.3116746783,306.2385206524,361.0247195189,300.6684929192,503.7421203994,329.6749080639,371.2131622459,204.6181022555,270.6245501644,320.8961462233,271.1060291457,324.85004518439996,363.4306345334,214.637633721
3,190.9159209826,110.7304111916,213.1877200391,0.0,194.1700206584,237.6208686495,142.1736825095,429.2292558509,188.7191622543,255.2675110699,334.3329338336,261.5220271696,154.8668416645,162.1289868969,152.8424134229,132.3978246869,189.4891316704,221.0928835965,171.7123133322,216.4201325315,215.3349429586,268.2394564344,363.3798826436,177.7319339036,203.9829910182,167.2313080145,157.17664935,167.69934132204997,206.2898175931,277.1006707203,201.5563740039,196.9958965054,190.13307451185,272.8854385171,198.626835691,150.8247614472,244.4221996163,253.6057830691,174.0689357143,153.1648246576,179.24913968385,185.2349612141,250.8792513034,231.9753925981,143.8403664402,90.4824120943,290.64863353055,306.14254734035,319.0529177525,231.2342711288,160.497737337,219.3951048993,260.3775158128,373.3747308741,201.0869367716,232.0475389286,263.9993774159,293.3112490637,302.9314349376,166.9536990903,275.2593041756,172.7853527922,276.0071212888,229.8731548398,236.0983069072,132.4851491171,146.0969668843,324.7950355671,394.8172748742,238.4349475817,143.9727431253,143.0208841412,151.5712116874,457.9073104665,293.3637243017,152.48714701929998,327.3336895385,175.1384805823,473.6092207754,168.8526849232,154.2894813851,333.1911019166,245.9589234331,227.6823875199,291.0157181745,137.9645676271,394.553325435,452.4558552958,311.16472817185,219.8321284365,352.3870643117,277.44476360584997,259.3449617606,220.6684452366,283.9299512279,242.0248832818,242.9583231899,180.7771882815,192.5301054429,278.0847057004,198.9869857806,280.6326549358,251.5632831669,115.3373900922,195.9876809881,177.0980628742,249.27439685410002,240.3015878359,416.8091984801,283.4527193595,188.53860830095,225.70647466,263.1333368909,186.2981469284,156.6233821567,358.428566186,185.6886355437,347.873132914,222.2994181066,212.1520319825,184.5820107433,215.7335587627,181.444219201,262.925982378,931.8494247411,138.0630539117,345.0902303861,360.8936293954,437.3524733843,182.3555259975,528.6403303754,192.5820634604,501.8716560073,185.4001937719,159.4014317364,376.07740265580003,345.357819722,193.6289539306,232.8559779566,159.3923414063
4,269.1137950521,192.7933132048,233.3772685867,194.1700206584,0.0,322.1780298461,212.6694420856,382.2222634365,266.074591158,252.2224137262,417.7867512164,315.743807915,161.872312767,228.3822566542,237.9550884529,198.0554875237,145.420415424,280.4214358794,214.3802517423,200.5008106792,286.3298334332,363.61223499,345.4999009781,217.63664616,278.1554736436,247.7802441773,173.0715614656,203.366952829,158.3028995255,295.559626775,269.5105968297,189.4037701767,238.138370466,362.26317202430005,224.4002483096,191.0959984321,146.5294352739,203.0863344465,75.8440079586,218.1541962219,244.6134006678,158.4287887827,270.7091506081,65.0962654992,190.7669399817,169.6924761769,283.4680982381,273.3058628351,323.5249132751,210.3551288644,267.9397580565,242.0375252854,298.520748401,373.7749556443,299.0033482191,213.9661976655,201.6095517978,273.0138828138,260.5575052049,272.172353605,370.5636281905,187.3267446935,299.823193688,328.2081899442,271.7690094641,226.1812296198,244.7565850514,277.0880988966,370.1296332205,336.3233075343,134.5599072565,177.0704802034,201.7030100059,348.6849321855,292.4055064874,216.4372814379,308.0104126646,170.0718878703,426.0632029843,231.6880506952,193.4513345162,287.6968049444,301.477861124,288.91900345435,374.7912002832,157.8985392719,362.3355312487,384.0452734597,346.4030429055,244.4193397613,306.6056045623,185.0406749677,270.9791403623,245.738903999,330.8992082031,182.8491647477,198.7897428649,271.1193547488,43.2064632357,267.4618233597,292.1751477278,365.2886226824,343.2587874589,156.6416915614,129.7663979427,216.6423597567,287.428108301,154.143597613,319.5143614277,357.2570574578,286.5538431898,299.4728129179,355.0744404635,256.3095507825,229.1910521202,378.0529649776,225.4869393885,309.5451540092,252.69885585,280.3135640707,227.0403685669,217.9103298934,231.8996325267,355.0162501409,838.8330860513,168.2329579428,361.2351566005,351.8079400551,362.4141013389,243.0325139588,467.4219194013,223.801188209,464.188317613,136.2602878061,264.1014317034,365.2492887628,361.8485922744,253.2037420824,282.97019267844996,208.6644119648
5,116.0339868269,200.7307126565,274.3216450719,237.6208686495,322.1780298461,0.0,183.3954129677,516.6768200184999,209.3925565944,379.09098908885,223.2676487163,191.66989744494998,221.662946089,258.2053054826,189.4359669115,186.7160157634,237.4690742709,267.0887869735,268.5612951571,313.022593156,252.6109245654,211.8889954694,417.5286626944,244.9837230364,257.68338279315003,164.2703819693,246.2275698012,251.6537661034,348.1069863335,350.5841262989,245.63016032265,291.9639622728,247.0618763455,219.6169984066,259.0993905987,208.3724956353,327.9612754544,368.9295456451,294.41302267590004,157.99831863,139.9679141179,301.8118553313,300.6799071245,354.4535998072,206.00383367125,205.3324849942,335.399756071,389.3277136998,382.4869285541,363.5406029388,297.2795687027,283.1173475626,282.1006988145,491.9998379471,148.8737104318,326.6911700239,302.9680552528,376.7566779858,376.8081662673,294.3868414267,188.7999313009,218.0346393691,343.4334982644,168.9436803308,240.5106325535,175.2854196922,199.405328162,403.0075837949,480.810130698,207.4079601609,241.3308015965,259.3311551211,229.1218281733,583.0586488337,353.6616938389,162.4351462303,390.1001656507,299.635217956,573.7997110204,210.71326806094999,197.330301449,445.9414930762,193.8258931933,264.7803722346,253.49601747035,204.4862079563,471.4500984699,559.2709041563,361.6945032321,310.302069075,422.9928580909,401.0109651513,328.7092700844,309.8968056386,326.771923853,350.1843914808,322.4219708327,197.17343793755,308.9912366519,373.6557963782,232.24646419805,232.3113093502,210.5089554806,264.3726544061,309.6701399652,204.9533846569,267.6759930443,377.571217173,509.9380930476,255.2080354529,227.4618777417,187.5804174233,213.6666275898,165.2484734297,164.0556861802,373.7697561007,235.7888211441,438.3144587955,244.3804028499,136.845504708,179.1680464511,332.1155298878,231.0796850401,213.62083792335,1010.9548325464,249.7901445925,441.9762519549,411.38970413075,549.899914361,227.9815056037,634.3415616984,288.9405952658,560.4459432988,280.3321144968,193.3665840086,430.1638928668,442.5178616409,253.6474381383,270.3917565353,164.3964686774
6,125.5858640658,127.7949133355,208.4037522247,142.1736825095,212.6694420856,183.3954129677,0.0,396.4063559455,214.6697285516,272.3877627713,324.4683453408,237.39520712,144.012833121,152.4495115293,148.5121169686,133.9918780376,158.9427643164,262.922871693,210.7320138809,195.6220007951,216.5727942832,284.5133845741,320.7682344681,170.3549627196,251.2251466573,166.1258889897,165.50044382,154.6267017676,227.8517655833,249.4732452006,244.0867127562,200.3933850821,229.6326654103,294.0800405756,237.1061596849,140.4494502099,213.3587924116,267.878500366,199.7606050247,131.8081028414,145.2034266212,170.2005091276,205.3867214085,238.562485491,130.9058630051,102.6833619455,268.7494002323,319.7950110722,262.927170532,230.1307082645,188.7032388498,210.1022684553,245.7727007426,370.1151527339,187.5382204071,185.1748522648,221.6804749668,256.5965899979,259.4665116941,187.3990884544,269.8710142163,149.4604840855,237.3934620208,230.2613592445,157.2759933943,163.5023406531,157.7503171114,276.3342264835,377.3500822801,261.2880229745,171.0460163854,139.5541713579,155.0202605847,452.3633221738,287.5516132029,137.2789536312,322.8185934803,201.5344127309,438.9179073943,155.6294590101,169.4456287499,320.0255369198,174.1420853364,268.82261776465,321.1904783575,154.0691202556,391.5927407051,421.9549415377,312.284393602,193.8047820226,316.7519410368,272.5391213023,242.1116876768,193.6828875594,279.0037648988,215.3726069403,238.07743437534998,193.6679547487,214.4737632418,264.0975965333,234.6068110941,300.40227772875,274.6330961174,134.1058664207,207.5781488022,145.8276976696,216.2443663779,233.8921823543,413.0163776608,319.1640781151,183.64475480745,180.56503806339998,274.7622684677,158.5170760003,146.4895107042,311.4470674866,186.2911121046,349.3336046457,168.6433573129,152.3790035254,166.3477237026,202.0841371977,124.3960582308,274.6312628355,935.1460326236,139.50953747674998,354.9118108834,360.8102017873,426.0458834964,207.7199474286,495.3831796762,224.9867214431,492.4907767555,159.6665421221,167.70398733489998,373.724718005,355.575734648,234.1845590294,268.0934603399,119.4537467136
7,473.6255945228,443.5072745937,335.4160351816,429.2292558509,382.2222634365,516.6768200184999,396.4063559455,0.0,551.5124574355,415.8131000127,600.6852776193,440.3385336879,435.310359942,400.1947714622,475.7077867575,421.948211409,370.0678620877,581.4559828274,488.3535531823,406.0722010247,485.3520980389,589.3389097556001,239.4177026384,465.1663270048,562.3459681617,499.7410815122,467.2639465686,450.355479664,393.2564989033,276.0016501014,568.3080163342,319.7799346228,549.7019863676,591.2933340202,545.026444924,472.1420195491,300.81329234555,286.8715709636,414.1531128541,441.7719796251,428.9411623163,348.4292885506,319.5890429737,351.1383396298,448.23218387,421.4194418335,286.8772095218,314.60731978984995,329.5322231883,348.8363866537,370.9650298638,336.6413397262,336.9750723008,224.9276290789,535.10774230655,319.68943219,316.3551645113,301.4802673649,278.8200232162,372.9757154348,590.5804637719,377.80558542715,285.5788114576,562.7172235477,365.39113487175,458.5214623391,483.0826640927,283.8281261514,243.8660229223,572.5700071974,461.8131261549,418.6221097863,432.8823999009,317.224516477,283.9671656166,406.2151707653,262.6303540572,442.92010686905,250.8482457555,415.94635419675,445.5759444413,304.2629370939,444.4457182977,571.7053466686,605.5935828024001,423.7727635069,209.7579628579,281.5683342689,291.8703010301,344.1594732692,236.350434048,318.9814745704,317.0169621852,344.67059905,344.128117939,299.0582798265,315.4613752998,540.993097889,404.8790504699,270.9414820901,568.0315613638,593.7462768541,577.4194509791,385.9884840218,319.9015271602,436.098830104,339.8658344218,331.2672708564,255.1814785539,602.5739978619,395.95071536579997,418.5577547835,578.5856791811,455.31808657224997,427.8498905438,363.4801412093,389.1096925724,229.5498779839,366.9387684486,437.2297014684,416.6085367357,309.4039702625,361.17355395904997,578.3732411938499,623.3829310888,391.0527209303,229.9849272559,278.1813506413,243.6342482851,541.9681967999,306.7054650228,487.3723208928,318.3616849332,347.7397313949,489.2184199002,270.2160947832,230.054655166,539.5691216428,584.99481472705,442.2779690769
8,182.0026285816,150.2677101673,321.8401479288,188.7191622543,266.074591158,209.3925565944,214.6697285516,551.5124574355,0.0,348.2447398671,193.6553403494,288.8112977929,153.204221361,260.4776808423,103.5846946648,175.393306955,250.2685232342,102.8230963895,161.2568316264,249.7682742236,248.4281501803,140.6188184455,486.6918654715,175.2561860695,112.2816335096,163.620382953,146.8607683661,176.0620626039,298.0849669921,417.038545644,69.7132528352,310.4177498795,89.2144273856,139.048969065,102.6587799612,128.486079448,324.8808429154,374.20200111535,220.1918318102,176.4487412267,232.8772095639,254.3788128186,355.4526754519,313.9795188671,154.81053165515,166.6209657026,401.7694692013,449.4839905573,429.7803108432,348.8627436556,301.8703665492,315.5586737262,373.7549915987,517.1937335417,126.6040195411,340.0293255894,353.7193375581,379.1699613708,417.7227379123,306.3261047136,182.1122241229,246.0422586163,367.9811457779,126.9451266811,307.9232857598,161.5842973459,111.3262166661,411.9822243754,528.4668776197,124.255553718,144.5850538326,215.1066935229,180.6039701646,585.6875634448,411.4496127167,218.8163297707,447.57969300130003,234.0518096391,609.0076326031,214.2302873925,170.0159662865,460.3938892986,280.8739545123,122.1142118207,152.6363529833,181.881970833,526.98205756365,582.3812291129,432.5025410761,339.7316313934,482.0625843798,394.5995003481,366.6420638797,340.2728412564,399.2440839563,355.1175923827,339.7921912767,109.8947262911,243.6844020004,399.486069973,93.5391308425,146.3531827527,127.0789598304,212.8501004938,288.5781891718,206.5771036739,338.6700929096,355.5300287966,539.7713618483,140.5816876256,293.3297094275,301.6074157865,148.0095975418,208.9653170398,193.42707125549998,452.6396582043,269.0356099338,476.5880001514,288.4717922367,256.7991702467,228.3568572541,339.5812452634,276.24591911715004,148.0728810979,1021.1297737728,207.5228619977,483.1828132312,474.7055055537,579.928667813,77.39547262,641.8315279554,208.406381964,610.0026611066,258.0419693074,165.3214868628,486.8653921509,483.5059293705,108.1794695123,112.689383356,180.4191044757
9,335.128583813,275.9384912351,350.3318279645,255.2675110699,252.2224137262,379.09098908885,272.3877627713,415.8131000127,348.2447398671,0.0,418.5138369144,324.5495113582,311.7326228849,188.3015043421,303.279721699,302.9130246503,322.860735785,357.9489530936,329.4250478435,313.5670209013,378.4209881582,397.3405735256,368.1518291796,321.4994325157,312.0169820558,300.1030264497,302.0344259908,294.4742381856,99.2908444349,320.1328635591,335.3012565637,330.6863330886,311.2948621474,396.4083809336,336.7975193932,292.7350564239,324.4948105032,350.6532797151,265.9923427035,277.8501456055,306.0968345293,278.6193507214,267.8926763291,286.403843015,289.9966558505,258.212639661,293.8114575873,354.6897963671,313.6347811311,133.7152556477,270.768270018,357.7880406253,342.48623172325,408.6848438583,364.8400229183,210.4973904792,353.7848360139,388.5146501695,338.1220829972,275.9068317918,417.34438248165,243.8739625401,376.7416065912,359.5120479391,331.7124006759,282.2131423423,306.0171123204,397.454988777,345.7110306141,360.1981332466,266.6069012427,186.5752635904,294.0078744827,332.3403410481,362.0678595663,309.3106451323,380.163983483,133.5359422255,405.1735231041,329.4345751906,296.49875180435004,203.7872782762,394.0279845109,325.0195097002,412.4790818772,265.7323993457,409.6199254235,351.5749300373,368.6081283214,214.0743771131,329.4541248457,177.0975130523,366.2502820606,214.2384162945,418.2982465556,235.3351556852,339.6146348701,307.9363179005,284.9026891126,369.3462530062,352.9058755589,396.374294502,369.8110336273,229.8943670773,266.0345344746,307.4180800848,370.5957311401,160.62800497925002,358.3379411444,408.0070915176,356.9710348091,353.2105752425,369.991094448,361.6996141015,290.326547683,451.9222429039,254.6662338576,346.5399788683,327.4856014574,360.01471263614997,303.908118571,241.5518003167,286.3681117824,369.5969241125,835.4086207459,196.9653444878,367.3609500647,360.5167598335,368.0525483363,335.302423758,404.1439674899,183.6557689614,488.9050384377,266.4057083453,311.3581494028,365.4063927967,366.9129330426,329.0388389925,365.76164772,319.8871544099
